de	en	plural	category	example	translation
der Marathon	marathon	die Marathons	Hobbies	Lea ist einen Marathon gelaufen.	Lea ran a marathon.
laufen	to run / walk		Verbs	Ich bin zum Hafen gelaufen.	I walked to the harbor.
es gibt	there is / there are		Grammar	Das Fest gibt es seit 1977.	The festival has existed since 1977.
seit	since / for an ongoing period		Time	Das Fest gibt es seit 1977.	The festival has existed since 1977.
der Kilometer	kilometer	die Kilometer	Travel	Wir sind zehn Kilometer gefahren.	We traveled ten kilometers.
die Jahreszahl	year number	die Jahreszahlen	Time	Welche Jahreszahl hören Sie?	Which year do you hear?
unterwegs	on the road / traveling		Travel	Wir waren mit Freunden unterwegs.	We were traveling with friends.
der August	August		Time	Im August bin ich nach Hamburg gefahren.	I traveled to Hamburg in August.
die Radtour	cycling tour	die Radtouren	Hobbies	Wir haben eine Radtour gemacht.	We went on a cycling tour.
nach	to a city or an article-free country		Travel	Ich bin nach Österreich gefahren.	I traveled to Austria.
bis	as far as / until		Grammar	Wir sind bis Romanshorn gefahren.	We traveled as far as Romanshorn.
weiterfahren	to continue the journey		Verbs	Wir sind nach Bregenz weitergefahren.	We continued to Bregenz.
die Tour	tour	die Touren	Travel	Die Tour war sehr schön.	The tour was lovely.
das Wetter	weather		Everyday	Wir hatten Glück mit dem Wetter.	We were lucky with the weather.
der Herbst	autumn / fall		Time	Im Herbst habe ich Freunde besucht.	I visited friends in autumn.
ein paar	a few		Grammar	Ich bin ein paar Tage geblieben.	I stayed for a few days.
besuchen	to visit		Verbs	Ich habe meine Eltern besucht.	I visited my parents.
bleiben	to stay		Verbs	Wir sind lange dort geblieben.	We stayed there for a long time.
das Riesenrad	Ferris wheel	die Riesenräder	Objects	Wir sind mit dem Riesenrad gefahren.	We rode the Ferris wheel.
das Volksfest	public festival / fair	die Volksfeste	Everyday	Wir haben ein Volksfest besucht.	We visited a public festival.
also	so / therefore		Grammar	Das Fest gibt es also schon lange.	So the festival has existed for a long time.
fast	almost		Grammar	Das Fest ist fast tausend Jahre alt.	The festival is almost a thousand years old.
die Mitte	middle		Time	Das Fest beginnt Mitte Oktober.	The festival starts in mid-October.
der Oktober	October		Time	Das Fest ist im Oktober.	The festival is in October.
der Anfang	beginning	die Anfänge	Time	Das Fest endet Anfang November.	The festival ends in early November.
