de	en	plural	category	example	translation
der Flughafen	airport	die Flughäfen	Travel	Ich bin am Flughafen.	I am at the airport.
chatten	to chat online		Verbs	Ich chatte mit Sara.	I am chatting with Sara.
der Kollege	male colleague	die Kollegen	People	Mein Kollege kommt morgen.	My colleague is coming tomorrow.
die Kollegin	female colleague	die Kolleginnen	People	Meine Kollegin ist in Berlin.	My colleague is in Berlin.
der Flug	flight	die Flüge	Travel	Mein Flug hat Verspätung.	My flight is delayed.
der Abendflug	evening flight	die Abendflüge	Travel	Ich nehme den Abendflug.	I am taking the evening flight.
die Reise	journey / trip	die Reisen	Travel	Die Reise ist schön.	The journey is lovely.
kurz	shortly / short		Time	Ich komme kurz nach sechs an.	I arrive shortly after six.
abfliegen	to depart by plane		Verbs	Wann fliegst du ab?	When do you depart?
starten	to take off / start		Verbs	Die Maschine startet um elf Uhr.	The plane takes off at eleven.
ankommen	to arrive		Verbs	Ich komme um acht Uhr an.	I arrive at eight.
dort	there		Places	Wann kommst du dort an?	When do you arrive there?
so	around / approximately		Time	Ich komme so um sechs an.	I arrive around six.
anrufen	to call by phone		Verbs	Rufst du mich noch mal an?	Will you call me again?
mich	me		Grammar	Kannst du mich abholen?	Can you pick me up?
noch mal	again		Conversation	Ich rufe dich noch mal an.	I will call you again.
früh	early		Time	Der Flug startet früh.	The flight leaves early.
sicher	sure / certain		Adjectives	Bist du sicher?	Are you sure?
die Stimme	voice	die Stimmen	People	Ich möchte deine Stimme hören.	I would like to hear your voice.
versuchen	to try		Verbs	Ich versuche es.	I will try.
hoffentlich	hopefully		Conversation	Hoffentlich haben wir keine Verspätung.	Hopefully we will not be delayed.
die Verspätung	delay	die Verspätungen	Travel	Der Zug hat Verspätung.	The train is delayed.
kaputt	broken		Adjectives	Mein Handy ist kaputt.	My phone is broken.
die Maschine	plane / machine	die Maschinen	Travel	Die Maschine landet um halb neun.	The plane lands at half past eight.
landen	to land		Verbs	Wann landest du?	When do you land?
alles	everything		Conversation	Ist alles okay?	Is everything okay?
alles klar	all clear / all right		Conversation	Alles klar, bis gleich!	All right, see you in a moment!
lieber	rather / preferably		Conversation	Ich rufe lieber nicht an.	I would rather not call.
