de	en	plural	category	example	translation
mögen	to like		Verbs	Ich mag Hamburger.	I like hamburgers.
der Hamburger	hamburger	die Hamburger	Food	Ich möchte einen Hamburger.	I would like a hamburger.
die Schokolade	chocolate		Food	Ich liebe Schokolade.	I love chocolate.
der Käse	cheese		Food	Ich mag keinen Käse.	I do not like cheese.
der Salat	salad	die Salate	Food	Ich nehme einen Salat.	I will have a salad.
der Kuchen	cake	die Kuchen	Food	Der Kuchen ist lecker.	The cake is delicious.
die Suppe	soup	die Suppen	Food	Ich möchte eine Suppe.	I would like a soup.
der Apfel	apple	die Äpfel	Food	Ich esse einen Apfel.	I am eating an apple.
der Tee	tea	die Tees	Food	Ich trinke gern Tee.	I like drinking tea.
die Orange	orange	die Orangen	Food	Ich esse eine Orange.	I am eating an orange.
der Fisch	fish	die Fische	Food	Ich esse gern Fisch.	I like eating fish.
die Tomate	tomato	die Tomaten	Food	Ich mag Tomaten.	I like tomatoes.
das Brot	bread	die Brote	Food	Ich esse Brot mit Käse.	I eat bread with cheese.
das Fleisch	meat		Food	Ich esse kein Fleisch.	I do not eat meat.
das Brötchen	bread roll	die Brötchen	Food	Ich nehme ein Brötchen.	I will have a bread roll.
die Marmelade	jam	die Marmeladen	Food	Ich esse gern Brot mit Marmelade.	I like eating bread with jam.
der Saft	juice	die Säfte	Food	Ich möchte einen Saft.	I would like a juice.
zum Frühstück	for breakfast		Food	Zum Frühstück esse ich Müsli.	I eat muesli for breakfast.
das Frühstück	breakfast		Food	Das Frühstück ist lecker.	The breakfast is delicious.
besonders	especially		Adjectives	Besonders gern mag ich Schokolade.	I especially like chocolate.
Guten Appetit!	Enjoy your meal!		Conversation	Hier bitte, guten Appetit!	There you are, enjoy your meal!
hier bitte	there you are		Conversation	Hier bitte, Ihr Kaffee.	There you are, your coffee.
lecker	delicious		Adjectives	Die Suppe ist lecker.	The soup is delicious.
essen	to eat		Verbs	Was isst du gern?	What do you like eating?
der Ketchup	ketchup (also das Ketchup)		Food	Ich mag Ketchup.	I like ketchup.
der Witz	joke	die Witze	Conversation	Das ist ein Witz.	That is a joke.
fit	fit		Adjectives	Ich bin fit.	I am fit.
intelligent	intelligent		Adjectives	Sie ist intelligent.	She is intelligent.
prima	great		Adjectives	Das ist prima!	That is great!
das Gedicht	poem	die Gedichte	Conversation	Ich schreibe ein Gedicht.	I am writing a poem.
auf dem Tisch	on the table		Food	Das Brot ist auf dem Tisch.	The bread is on the table.
trinken	to drink		Verbs	Was möchtest du trinken?	What would you like to drink?
das Abendessen	dinner	die Abendessen	Food	Zum Abendessen esse ich Fisch.	I eat fish for dinner.
das Mittagessen	lunch	die Mittagessen	Food	Zum Mittagessen esse ich Reis.	I eat rice for lunch.
das Getränk	drink	die Getränke	Food	Mein Lieblingsgetränk ist Tee.	My favourite drink is tea.
das Essen	food / meal	die Essen	Food	Das Essen schmeckt gut.	The food tastes good.
die Butter	butter		Food	Ich esse Brot mit Butter.	I eat bread with butter.
der Schinken	ham	die Schinken	Food	Ich möchte ein Brötchen mit Schinken.	I would like a bread roll with ham.
das Ei	egg	die Eier	Food	Ich esse ein Ei zum Frühstück.	I eat an egg for breakfast.
das Müsli	muesli	die Müslis	Food	Ich esse gern Müsli.	I like eating muesli.
die Milch	milk		Food	Ich trinke Milch.	I drink milk.
wünschen	to wish / want		Verbs	Sie wünschen?	What would you like?
die Tasse	cup	die Tassen	Food	Eine Tasse Kaffee, bitte.	A cup of coffee, please.
möchten	would like		Verbs	Ich möchte einen Kaffee.	I would like a coffee.
der Nusskuchen	nut cake	die Nusskuchen	Food	Ich mag keinen Nusskuchen.	I do not like nut cake.
der Apfelkuchen	apple cake	die Apfelkuchen	Food	Ich nehme einen Apfelkuchen.	I will have an apple cake.
