de	en	plural	category
Oh Gott!	Oh God!		Expressions
der Gott	god	die Götter	Objects
viel	much		Adjectives
die Arbeit	work		Office
Hilfe!	Help!		Expressions
das Passwort	password	die Passwörter	Office
der Traum	dream	die Träume	Objects
der Albtraum	nightmare	die Albträume	Objects
die Person	person	die Personen	People
der Hunger	hunger		Everyday
Hunger haben	to be hungry		Expressions
telefonieren	to talk on the phone		Verbs
das WLAN	Wi-Fi		Office
der Stift	pen	die Stifte	Office
brauchen	to need		Verbs
der Kaffee	coffee	die Kaffees	Everyday
die Nachricht	message	die Nachrichten	Office
das Büro	office	die Büros	Office
neu	new		Adjectives
Viele Grüße	kind regards		Expressions
der Gruß	greeting	die Grüße	Expressions
das Yoga	yoga		Everyday
morgen	tomorrow		Adverbs
leider	unfortunately		Adverbs
Zeit haben	to have time		Expressions
keine Zeit haben	to have no time		Expressions
die Zeit	time		Everyday
der Termin	appointment	die Termine	Office
von	from / of		Grammar
Liebe Grüße / LG	kind regards / love		Expressions
der Laptop	laptop	die Laptops	Office
der Drucker	printer	die Drucker	Office
die Maus	mouse	die Mäuse	Office
der Computer	computer	die Computer	Office
der Kalender	calendar	die Kalender	Office
der Bildschirm	monitor	die Bildschirme	Office
das Tablet	tablet	die Tablets	Office
die Visitenkarte	business card	die Visitenkarten	Office
die Tastatur	keyboard	die Tastaturen	Office
dann	then		Adverbs
notieren	to note down		Verbs
in die Tasche packen	to put in the bag		Expressions
der Schreibtisch	desk	die Schreibtische	Office
der Arbeitsplatz	workspace	die Arbeitsplätze	Office
Ach, da ist er ja!	Oh, there it is!		Expressions
schon wieder	again		Adverbs
vielleicht	maybe		Adverbs
das Quartett	quartets (card game)	die Quartette	Objects
Hallo, … hier.	Hello, … speaking.		Expressions
hier	here / speaking (on the phone)		Adverbs
Was kann ich für Sie tun?	How can I help you?		Expressions
da sein	to be there		Expressions
Auf Wiederhören.	Goodbye (on the phone).		Expressions
schnell	quick / fast		Adjectives
schwer	heavy / difficult		Adjectives
suchen	to look for		Verbs
packen	to pack		Verbs
haben	to have		Verbs
sehen	to see		Verbs
finden	to find / have an opinion		Verbs
der Autoschlüssel	car key	die Autoschlüssel	Objects
die Handynummer	mobile phone number	die Handynummern	Office
das Leder	leather		Materials
das Sonderangebot	special offer	die Sonderangebote	Shopping
der Kollege	colleague (male)	die Kollegen	People
die Kollegin	colleague (female)	die Kolleginnen	People
der Kuli	ballpoint pen (informal)	die Kulis	Objects
die Abkürzung	abbreviation	die Abkürzungen	Classroom
die Idee	idea	die Ideen	Everyday
der Stress	stress		Everyday
die Liebe	love		Everyday
das Glück	happiness / luck		Everyday
der Würfel	die / dice	die Würfel	Objects
würfeln	to roll dice		Verbs
