de	en	plural	category	example	translation
das Schwimmbad	swimming pool	die Schwimmbäder	Places	Wir gehen ins Schwimmbad.	We are going to the swimming pool.
das Kino	cinema	die Kinos	Places	Gehen wir ins Kino?	Shall we go to the cinema?
heute	today		Time	Heute habe ich Zeit.	I have time today.
der Nachmittag	afternoon	die Nachmittage	Time	Am Nachmittag gehe ich ins Kino.	I am going to the cinema in the afternoon.
um	at (a clock time)		Grammar	Wir treffen uns um vier.	We are meeting at four.
am	on / in / at (with days and most parts of the day)		Grammar	Am Montag habe ich Zeit.	I have time on Monday.
der Wochentag	day of the week	die Wochentage	Time	Montag ist ein Wochentag.	Monday is a day of the week.
die Woche	week	die Wochen	Time	Ich habe eine Woche frei.	I have a week off.
der Montag	Monday	die Montage	Time	Am Montag arbeite ich.	I work on Monday.
der Dienstag	Tuesday	die Dienstage	Time	Am Dienstag spiele ich Tennis.	I play tennis on Tuesday.
der Mittwoch	Wednesday	die Mittwoche	Time	Am Mittwoch gehe ich ins Café.	I am going to the cafe on Wednesday.
der Donnerstag	Thursday	die Donnerstage	Time	Am Donnerstag habe ich Zeit.	I have time on Thursday.
der Freitag	Friday	die Freitage	Time	Am Freitag gehe ich ins Kino.	I am going to the cinema on Friday.
der Samstag	Saturday	die Samstage	Time	Am Samstag treffe ich Anna.	I am meeting Anna on Saturday.
der Sonntag	Sunday	die Sonntage	Time	Am Sonntag koche ich.	I cook on Sunday.
Wann?	When?		Questions	Wann hast du Zeit?	When do you have time?
das Wochenende	weekend	die Wochenenden	Time	Am Wochenende habe ich Zeit.	I have time at the weekend.
am Wochenende	at the weekend		Time	Was machst du am Wochenende?	What are you doing at the weekend?
frei	off / free		Descriptions	Ich habe am Montag frei.	I have Monday off.
der Chat	chat	die Chats	Communication	Ich lese den Chat.	I am reading the chat.
die Nacht	night	die Nächte	Time	In der Nacht schlafe ich.	I sleep at night.
in der Nacht	at night		Time	Er arbeitet in der Nacht.	He works at night.
Das weiß ich noch nicht.	I do not know yet.		Conversation	Das weiß ich noch nicht.	I do not know yet.
wissen	to know (a fact)		Verbs	Weißt du das?	Do you know that?
Lust auf …	in the mood for …		Conversation	Hast du Lust auf Kino?	Do you feel like going to the cinema?
Keine Lust.	I do not feel like it.		Conversation	Nein, keine Lust.	No, I do not feel like it.
die Lust	desire / inclination		Conversation	Ich habe Lust auf Kino.	I feel like going to the cinema.
die Idee	idea	die Ideen	Conversation	Das ist eine gute Idee.	That is a good idea.
Gute Idee!	Good idea!		Conversation	Oh ja! Gute Idee!	Oh yes! Good idea!
um Viertel nach	at quarter past		Time	Wir gehen um Viertel nach drei ins Kino.	We are going to the cinema at quarter past three.
um halb	at half past (the previous hour)		Time	Ich habe um halb vier Zeit.	I have time at half past three.
spät	late		Time	Das ist zu spät.	That is too late.
oder	or		Grammar	Am Montag oder am Dienstag?	On Monday or on Tuesday?
okay	okay		Conversation	Ja, okay. Bis dann!	Yes, okay. See you then!
Bis dann!	See you then!		Conversation	Um vier? Gut, bis dann!	At four? Good, see you then!
der Morgen	morning	die Morgen	Time	Am Morgen schwimme ich.	I swim in the morning.
der Vormittag	morning (before noon)	die Vormittage	Time	Am Vormittag arbeite ich.	I work in the morning.
der Mittag	noon / midday	die Mittage	Time	Am Mittag habe ich Zeit.	I have time at midday.
der Abend	evening	die Abende	Time	Am Abend gehe ich ins Theater.	I am going to the theatre in the evening.
das Museum	museum	die Museen	Places	Wir gehen ins Museum.	We are going to the museum.
das Theater	theatre	die Theater	Places	Gehen wir ins Theater?	Shall we go to the theatre?
das Café	cafe	die Cafés	Places	Wir gehen ins Café.	We are going to the cafe.
die Ausstellung	exhibition	die Ausstellungen	Places	Ich gehe in eine Ausstellung.	I am going to an exhibition.
die Disco	disco	die Discos	Places	Sie geht in eine Disco.	She is going to a disco.
das Restaurant	restaurant	die Restaurants	Places	Wir gehen ins Restaurant.	We are going to the restaurant.
die Bar	bar	die Bars	Places	Ich gehe in eine Bar.	I am going to a bar.
in	to / into (a destination here)		Grammar	Wir gehen in einen Klub.	We are going to a club.
nach	past (a clock time)		Time	Es ist zehn nach drei.	It is ten past three.
Viertel nach	quarter past		Time	Es ist Viertel nach drei.	It is quarter past three.
vor	to / before (a clock time)		Time	Es ist zehn vor vier.	It is ten to four.
halb	halfway to the next hour		Time	Es ist halb vier.	It is half past three.
Viertel vor	quarter to		Time	Es ist Viertel vor vier.	It is quarter to four.
Wie viel Uhr ist es?	What time is it?		Questions	Wie viel Uhr ist es?	What time is it?
Wie spät ist es?	What time is it?		Questions	Wie spät ist es?	What time is it?
Es ist …	It is … (a clock time here)		Time	Es ist drei Uhr.	It is three o'clock.
der Rücken	back	die Rücken	People	Schreiben Sie eine Uhrzeit auf den Rücken.	Write a time on the person's back.
Ja, genau.	Yes, exactly.		Conversation	Halb vier? Ja, genau.	Half past three? Yes, exactly.
der Vorschlag	suggestion	die Vorschläge	Conversation	Das ist ein guter Vorschlag.	That is a good suggestion.
die Frage	question	die Fragen	Questions	Ich habe eine Frage.	I have a question.
die Antwort	answer	die Antworten	Questions	Ich weiß die Antwort.	I know the answer.
tut mir leid	I am sorry		Conversation	Tut mir leid, ich habe keine Zeit.	I am sorry, I have no time.
der Klub	club	die Klubs	Places	Wir gehen in einen Klub.	We are going to a club.
das Konzert	concert	die Konzerte	Places	Am Abend gehe ich ins Konzert.	I am going to the concert in the evening.
das Fitnessstudio	gym	die Fitnessstudios	Places	Sie geht ins Fitnessstudio.	She is going to the gym.
die Uhrzeit	time (on a clock)	die Uhrzeiten	Time	Notieren Sie die Uhrzeit.	Write down the time.
der Termin	appointment	die Termine	Time	Ich habe am Montag einen Termin.	I have an appointment on Monday.
der Traumtag	dream day	die Traumtage	Time	Wir planen einen Traumtag.	We are planning a dream day.
leider	unfortunately		Conversation	Ich habe leider keine Zeit.	Unfortunately, I have no time.
die Zeit	time		Time	Hast du heute Zeit?	Do you have time today?
gehen	to go		Verbs	Am Abend gehen wir ins Kino.	We are going to the cinema in the evening.
haben	to have		Verbs	Hast du am Samstag Zeit?	Do you have time on Saturday?
können	can / to be able to		Verbs	Können wir am Sonntag Tennis spielen?	Can we play tennis on Sunday?
treffen	to meet		Verbs	Um drei treffe ich Nina.	I am meeting Nina at three.
planen	to plan		Verbs	Wir planen einen Tag in Berlin.	We are planning a day in Berlin.
