de	en	plural	category	example	translation
können	to be able to / can		Verbs	Ich kann gut schwimmen.	I can swim well.
tanzen	to dance		Verbs	Du kannst toll tanzen.	You can dance really well.
toll	great		Adjectives	Ich finde das toll.	I think that is great.
normal	normal		Adjectives	Das ist normal.	That is normal.
komisch	strange / funny		Adjectives	Ich finde das komisch.	I find that strange.
blöd	stupid / silly		Adjectives	Das finde ich blöd.	I think that is silly.
interessant	interesting		Adjectives	Das Buch ist interessant.	The book is interesting.
lustig	funny		Adjectives	Mein Freund ist lustig.	My friend is funny.
überall	anywhere / everywhere		Adverbs	Ich kann überall tanzen.	I can dance anywhere.
hören	to hear / listen to		Verbs	Ich höre gern Musik.	I like listening to music.
zurzeit	currently / at the moment		Adverbs	Zurzeit lese ich ein Buch.	I am reading a book at the moment.
immer	always		Frequency	Ich höre immer Musik.	I always listen to music.
die Minute	minute	die Minuten	Time	Eine Minute, bitte.	One minute, please.
kochen	to cook		Verbs	Ich koche gern.	I like cooking.
singen	to sing		Verbs	Sie kann sehr gut singen.	She can sing very well.
schwimmen	to swim		Verbs	Wir können schwimmen.	We can swim.
fotografieren	to take photographs		Verbs	Er fotografiert gern.	He likes taking photographs.
Schach spielen	to play chess		Hobbies	Kannst du Schach spielen?	Can you play chess?
malen	to paint		Verbs	Ich male gern.	I like painting.
backen	to bake		Verbs	Ich kann ein bisschen backen.	I can bake a little.
Fußball spielen	to play football		Hobbies	Wir spielen oft Fußball.	We often play football.
Tennis spielen	to play tennis		Hobbies	Könnt ihr Tennis spielen?	Can you play tennis?
Gitarre spielen	to play the guitar		Hobbies	Er kann Gitarre spielen.	He can play the guitar.
Rad / Fahrrad fahren	to cycle		Hobbies	Ich fahre gern Rad.	I like cycling.
Ski fahren	to ski		Hobbies	Sie kann gut Ski fahren.	She can ski well.
reiten	to ride a horse		Verbs	Kannst du reiten?	Can you ride a horse?
das Hobby	hobby	die Hobbys	Hobbies	Was sind deine Hobbys?	What are your hobbies?
Du kannst ja …	You really can … (surprised compliment)		Conversation	Du kannst ja toll tanzen!	You really can dance very well!
ja	really (emphasis in a compliment)		Grammar	Du kannst ja toll kochen!	You really can cook very well!
Du kannst wirklich …	You really can …		Conversation	Du kannst wirklich gut singen!	You really can sing well!
wirklich	really		Adverbs	Das macht wirklich Spaß.	That is really fun.
Du kannst aber …	You really can … (emphatic compliment)		Conversation	Du kannst aber gut malen!	You really can paint well!
aber	but; emphasis in a compliment		Grammar	Ich kann singen, aber nicht tanzen.	I can sing, but I cannot dance.
Herzlichen Dank!	Thank you very much!		Conversation	Herzlichen Dank!	Thank you very much!
wir alle	all of us		Grammar	Wir alle können schwimmen.	All of us can swim.
alle	all		Grammar	Wir können alle schwimmen.	We can all swim.
alle drei	all three		Grammar	Wir können alle drei schwimmen.	All three of us can swim.
beide	both		Grammar	Wir können beide tanzen.	Both of us can dance.
auch nicht	not either		Grammar	Ich kann auch nicht backen.	I cannot bake either.
auflegen	to DJ / put on music		Verbs	Ich lege gern Musik auf.	I like DJing.
mixen	to mix music		Verbs	Er mixt Musik.	He mixes music.
der DJ	DJ	die DJs	People	Er ist DJ.	He is a DJ.
lieben	to love		Verbs	Ich liebe Musik.	I love music.
das Kickboxen	kickboxing		Hobbies	Ich liebe Kickboxen.	I love kickboxing.
die Senioren	senior citizens	plural only	People	Die Senioren hören gern Musik.	The senior citizens like listening to music.
das Seniorenheim	care home for older people	die Seniorenheime	Places	Er wohnt im Seniorenheim.	He lives in a care home for older people.
richtig	properly / correctly		Adverbs	Er kann nicht richtig gehen.	He cannot walk properly.
gehen	to go / walk		Verbs	Ich gehe nach Hause.	I am going home.
die Versicherung	insurance / insurance company	die Versicherungen	Work	Sie arbeitet bei einer Versicherung.	She works for an insurance company.
der Kaufmann	businessman / merchant	die Kaufleute	People	Er ist Kaufmann.	He is a businessman.
die Kauffrau	businesswoman / merchant	die Kauffrauen	People	Sie ist Kauffrau.	She is a businesswoman.
die Kaufleute	businesspeople / merchants	plural only	People	Die Kaufleute arbeiten hier.	The businesspeople work here.
der Versicherungskaufmann	insurance clerk (male)	die Versicherungskaufmänner	People	Er macht eine Ausbildung als Versicherungskaufmann.	He is training as an insurance clerk.
die Versicherungskauffrau	insurance clerk (female)	die Versicherungskauffrauen	People	Sie ist Versicherungskauffrau.	She is an insurance clerk.
die Versicherungskaufleute	insurance clerks	plural only	People	Die Versicherungskaufleute arbeiten im Büro.	The insurance clerks work in the office.
in der Freizeit	in one's free time		Hobbies	In der Freizeit spiele ich Tennis.	I play tennis in my free time.
die Freizeit	free time / leisure		Hobbies	Was machst du in deiner Freizeit?	What do you do in your free time?
oft	often		Frequency	Ich lese oft.	I often read.
